Id,category,Item,ImageSrc,PriceTag,validity,item_disclaimer_text,Description,SalesStory,Coupon
480579154,Frozen,Amy's Frozen Bowls,https://cdn.flippenterprise.net/page_pdf_images/9875073/0a4069d4-590a-11ea-94b8-0ec6e2beadde/x_large,SALE$3.99¢,"
      Valid March 06, 2020 - March 12, 2020
    ",,"Selected Varieties, 8–9.5 oz. pkg.",SAVE $5 when you buy 5 participating products,"{'Id': None, 'CouponDetail': ' ', 'CouponDiscalimer': None}"
480568107,Frozen,Smart Ones Entrée,https://cdn.flippenterprise.net/page_pdf_images/9875024/e2efb70e-5909-11ea-8505-0e1ba86a8db4/x_large,SALE 6/$10.00¢,"
      Valid March 06, 2020 - March 08, 2020
    ","Limit 6. Other quantities/rest of the week 5/$10
","Frozen, Selected Varieties, 4.4–10.5 oz. pkg.",3 DAYS ONLY!,"{'Id': None, 'CouponDetail': ' ', 'CouponDiscalimer': None}"
480615733,Frozen,Stop & Shop Cauliflower Gnocchi,https://cdn.flippenterprise.net/page_pdf_images/9875082/14399776-590a-11ea-b8be-0ec6e2beadde/x_large,$2.99¢,"
      Valid March 06, 2020 - March 12, 2020
    ",,"Frozen, Selected Varieties, 12 oz. box",,"{'Id': None, 'CouponDetail': ' ', 'CouponDiscalimer': None}"
480615911,Frozen,Taste of Inspirations Lavash Flatbread,https://cdn.flippenterprise.net/page_pdf_images/9875082/06c04194-590a-11ea-b8be-0ec6e2beadde/x_large,,"
      Valid March 06, 2020 - March 12, 2020
    ",Available in our Bake Shop,,$1 OFF,"{'Id': None, 'CouponDetail': ' ', 'CouponDiscalimer': None}"
480591060,Frozen,Screamin' Sicilian Pizza,https://cdn.flippenterprise.net/page_pdf_images/9875076/0cea7f58-590a-11ea-bd2c-0ec6e2beadde/x_large,SALE$5.99¢,"
      Valid March 06, 2020 - March 12, 2020
    ",,"Frozen, Selected Varieties,
",,"{'Id': None, 'CouponDetail': ' ', 'CouponDiscalimer': None}"
480601476,Frozen,Turkey Hill All Natural Ice Cream,https://cdn.flippenterprise.net/page_pdf_images/9875078/11a43fa2-590a-11ea-87f4-0e7faade0358/x_large,SALE$3.79¢,"
      Valid March 06, 2020 - March 12, 2020
    ",,"Selected Varieties, 48 fl. oz. cont.",,"{'Id': None, 'CouponDetail': ' ', 'CouponDiscalimer': None}"
480612425,Frozen,Tai Pei Entrée,https://cdn.flippenterprise.net/page_pdf_images/9875081/202923b2-590a-11ea-8e04-0ec6e2beadde/x_large,SALE 2/$5.00¢,"
      Valid March 06, 2020 - March 12, 2020
    ",Only with your Stop & Shop Card or registered phone number! In a single transaction from 3/06-3/12/20.,"Frozen, Selected Varieties, 7.9–11 oz. pkg.",SAVE $5 When you buy 5 participating products,"{'Id': '532753', 'CouponDetail': 'Save $1.00 on TWO (2) Tai Pei® Entrées or Appetizers (7.9 oz. or larger)\n                Valid Mar 02, 2020 to May 02, 2020\n            ', 'CouponDiscalimer': 'Consumer: Limit 1 coupon per customer per purchase. Coupon good only on Tai Pei® products (7.9 oz. or larger). Coupon void if altered, copied, sold, purchased, transferred, exchanged, taxed, restricted by law, or prohibited by law. Consumer pays any sales tax. Coupons not properly redeemed will be void and held. Reproduction of this coupon is expressly prohibited. Cash value .001¢. Void where taxed or restricted. LIMIT ONE COUPON PER ITEM PURCHASED. Retailer: We will reimburse you the face value of this coupon plus 8¢ handling provided it is properly redeemed by a consumer at the time of purchase on the brand specified. M ail to: CMS 73202, 1 Fawcett Drive, Del Rio, TX 78840. © 2020 Ajinomoto Foods North America, Inc.'}"
480611788,Frozen,Smucker's Uncrustables,https://cdn.flippenterprise.net/page_pdf_images/9875081/1ddaf252-590a-11ea-8e04-0ec6e2beadde/x_large,SALE 2/$6.00¢,"
      Valid March 06, 2020 - March 12, 2020
    ",Only with your Stop & Shop Card or registered phone number! In a single transaction from 3/06-3/12/20.,"Frozen, Selected Varieties, 7.2–8 oz. pkg.",SAVE $5 When you buy 5 participating products,"{'Id': None, 'CouponDetail': ' ', 'CouponDiscalimer': None}"
480613453,Frozen,Taste of Inspirations Shredded Parmesan,https://cdn.flippenterprise.net/page_pdf_images/9875082/0abeec3c-590a-11ea-b8be-0ec6e2beadde/x_large,$9.99¢/lb.,"
      Valid March 06, 2020 - March 12, 2020
    ",,,,"{'Id': None, 'CouponDetail': ' ', 'CouponDiscalimer': None}"
480588513,Frozen,Stop & Shop Ice Cream,https://cdn.flippenterprise.net/page_pdf_images/9875076/0b44cee2-590a-11ea-bd2c-0ec6e2beadde/x_large,SALE 2/$5.00¢,"
      Valid March 06, 2020 - March 12, 2020
    ",,"Selected Varieties, 48 fl. oz. cont.",,"{'Id': None, 'CouponDetail': ' ', 'CouponDiscalimer': None}"
480614242,Other,Vegetarian sheet pan nachos,,,,,,,"{'Id': None, 'CouponDetail': ' ', 'CouponDiscalimer': None}"
480589047,Frozen,Popsicle Novelties,https://cdn.flippenterprise.net/page_pdf_images/9875076/eee88ff4-5909-11ea-bd2c-0ec6e2beadde/x_large,SALE 2/$7.00¢,"
      Valid March 06, 2020 - March 12, 2020
    ",,"Frozen, Selected Varieties, 9–30 . oz. pkg.",,"{'Id': None, 'CouponDetail': ' ', 'CouponDiscalimer': None}"
480575859,Frozen,Pane Vita Stromboli,https://cdn.flippenterprise.net/page_pdf_images/9875071/00f37f1a-590a-11ea-8512-0efae983d694/x_large,SALE 2/$7.00¢,"
      Valid March 06, 2020 - March 12, 2020
    ",,,,"{'Id': None, 'CouponDetail': ' ', 'CouponDiscalimer': None}"
480590741,Frozen,P.F. Chang's Multi-Serve Skillet,https://cdn.flippenterprise.net/page_pdf_images/9875076/02442662-590a-11ea-bd2c-0ec6e2beadde/x_large,SALE$5.99¢,"
      Valid March 06, 2020 - March 12, 2020
    ",,"Frozen, Selected Varieties, 22 oz. pkg.",FREE P.F. Chang's Appetizer When you buy 2 P.F. Chang's Skillets,"{'Id': None, 'CouponDetail': ' ', 'CouponDiscalimer': None}"
480571402,Frozen,Osem Bamba Peanut Snacks,https://cdn.flippenterprise.net/page_pdf_images/9875069/dd3d5afa-5909-11ea-b7a6-0e1ba86a8db4/x_large,SALE 5/$5.00¢,"
      Valid March 06, 2020 - March 12, 2020
    ",,"Selected Varieties, 1 oz. pkg.",,"{'Id': None, 'CouponDetail': ' ', 'CouponDiscalimer': None}"
480569587,Meat,Center Cut Pork Chops,https://cdn.flippenterprise.net/page_pdf_images/9875024/e1651fa0-5909-11ea-8505-0e1ba86a8db4/x_large,SALE$1.77¢/lb.,"
      Valid March 06, 2020 - March 12, 2020
    ",,"Shop, Bone-In, Value Pack, 3 lbs. or more",,"{'Id': None, 'CouponDetail': ' ', 'CouponDiscalimer': None}"
480612618,Frozen,Realgood Cauliflower Pizza,https://cdn.flippenterprise.net/page_pdf_images/9875081/1f86d4c2-590a-11ea-8e04-0ec6e2beadde/x_large,SALE$6.99¢,"
      Valid March 06, 2020 - March 12, 2020
    ",Only with your Stop & Shop card or registered phone number! In a single transaction from 3/06-3/12/20.,"Frozen, Selected Varieties, 17 oz. pkg.",SAVE $5 when you buy 5 participating products,"{'Id': None, 'CouponDetail': ' ', 'CouponDiscalimer': None}"
480590561,Frozen,Quest Pizza,https://cdn.flippenterprise.net/page_pdf_images/9875076/15c404be-590a-11ea-bd2c-0ec6e2beadde/x_large,SALE$6.99¢,"
      Valid March 06, 2020 - March 12, 2020
    ",,"Frozen, Selected Varieties, 11–11.4 oz. pkg.",,"{'Id': None, 'CouponDetail': ' ', 'CouponDiscalimer': None}"
480568085,Other,STOP & SHOP,,,,,,,"{'Id': None, 'CouponDetail': ' ', 'CouponDiscalimer': None}"
481987100,Other,Peapod,,,,,,,"{'Id': None, 'CouponDetail': ' ', 'CouponDiscalimer': None}"
480602114,Other,Peapod,,,,,,,"{'Id': None, 'CouponDetail': ' ', 'CouponDiscalimer': None}"
481987099,Other,Email Sign-up,https://cdn.flippenterprise.net/page_items/186650500/1583269559/extra_large.jpg,,"
      Valid March 06, 2020 - March 12, 2020
    ",,,,"{'Id': None, 'CouponDetail': ' ', 'CouponDiscalimer': None}"
480600139,Baby,Huggies Giga Pack Diapers or Pull-Ups Training Pants,https://cdn.flippenterprise.net/page_pdf_images/9875078/09f8987a-590a-11ea-87f4-0e7faade0358/x_large,,"
      Valid March 06, 2020 - March 12, 2020
    ",,"Selected Varieties, 42–168 ct. pkg.",SALE $2 OFF,"{'Id': '530339', 'CouponDetail': 'Save $3.00 on any TWO (2) packages of HUGGIES® Diapers (Not valid on 9 ct. or less)\n                Valid Feb 28, 2020 to Mar 12, 2020\n            ', 'CouponDiscalimer': None}"
480614909,Natural & Organic,Stop & Shop Sunflower Seeds,https://cdn.flippenterprise.net/page_pdf_images/9875082/ff8dcbd0-5909-11ea-b8be-0ec6e2beadde/x_large,SALE$1.69¢,"
      Valid March 06, 2020 - March 12, 2020
    ",,"Selected Varieties,5.25–18.75 oz. pkg.",,"{'Id': None, 'CouponDetail': ' ', 'CouponDiscalimer': None}"
